"SiteNum","StationNum","SurveyDate","TotDetections","SigBehavior","SurveyStart","SurveyEnd","Notes","SurveyLength","presence","occupied"
"22-3","C",2022-07-06,17,"P",294,429,NA,135,1,0
"22-3","C",2022-06-29,14,"P",290,410,NA,120,1,0
"22-12","A",2022-06-29,0,"N",290,410,NA,120,0,0
"22-12","A",2022-07-18,0,"N",301,429,NA,128,0,0
"22-12","A",2022-06-20,1,"P",287,407,NA,120,1,0
"22-12","A",2022-07-04,2,"P",293,413,NA,120,1,0
"22-12","A",2022-07-08,3,"P",295,445,NA,150,1,0
"22-13","A",2022-07-01,21,"5A",291,411,NA,120,1,1
"22-13","A",2022-07-21,33,"5A",307,428,NA,121,1,1
"22-13","A",2022-08-08,9,"5A",324,451,NA,127,1,1
"22-13","A",2022-07-29,48,"5A",312,435,NA,123,1,1
"22-13","B",2022-07-07,2,"P",358,433,NA,75,1,0
"22-13","B",2022-07-25,9,"5A",310,431,NA,121,1,1
"22-13","B",2022-08-01,22,"P",316,468,NA,152,1,0
"22-13","B",2022-08-10,2,"P",324,450,NA,126,1,0
"22-11","A",2022-06-06,0,"N",288,408,NA,120,0,0
"22-11","A",2022-06-16,6,"P",286,406,NA,120,1,0
"22-11","B",2022-06-09,0,"N",287,407,NA,120,0,0
"22-11","C",2022-06-13,0,"N",286,406,NA,120,0,0
"22-2","A",2022-06-07,0,"N",287,407,NA,120,0,0
"22-2","B",2022-06-10,24,"5A",288,416,NA,128,1,1
"22-2","C",2022-06-14,2,"P",288,406,NA,118,1,0
"22-2","C",2022-06-15,4,"P",286,406,"WSOW",120,1,0
"22-15","B",2022-07-25,3,"P",311,431,NA,120,1,0
"22-7","A",2022-08-04,0,"N",322,442,NA,120,0,0
"22-7","A",2022-08-15,0,"N",324,456,NA,132,0,0
"22-7","B",2022-07-28,5,"6A",314,434,NA,120,1,1
"22-7","B",2022-08-10,0,"N",329,449,NA,120,0,0
"22-6","A",2022-08-02,19,"P",320,440,NA,120,1,0
"22-6","B",2022-07-22,7,"P",308,430,NA,122,1,0
"22-6","C",2022-07-28,12,"5A",314,434,NA,120,1,1
"22-16","B",2022-07-28,4,"P",304,466,NA,162,1,0
"22-16","B",2022-08-09,11,"5A",314,452,"BADO- 2-3 pairs",138,1,1
"22-16","C",2022-08-02,31,"5A",295,443,NA,148,1,1
"22-16","C",2022-08-12,5,"5A",322,453,NA,131,1,1
"22-16","A",2022-07-26,14,"5A",309,451,NA,142,1,1
"22-16","A",2022-08-04,15,"5A",305,445,NA,140,1,1
"22-16","A",2022-08-16,0,"N",325,459,NA,134,0,0
"22-15","C",2022-07-27,27,"P",308,435,NA,127,1,0
"22-4","A",2022-07-20,48,"P",306,456,NA,150,1,0
"22-4","A",2022-07-29,5,"P",315,435,NA,120,1,0
"22-4","A",2022-08-08,14,"P",326,446,NA,120,1,0
"22-4","A",2022-07-01,3,"P",291,411,NA,120,1,0
"22-4","C",2022-07-13,15,"P",299,419,NA,120,1,0
"22-4","C",2022-08-04,0,"N",322,442,NA,120,0,0
"22-4","C",2022-08-11,14,"P",330,450,NA,120,1,0
"22-4","C",2022-07-27,29,"6A",311,433,NA,122,1,1
"22-4","B",2022-07-07,6,"P",295,415,NA,120,1,0
"22-4","B",2022-07-25,38,"4",311,431,NA,120,1,1
"22-4","B",2022-08-01,1,"P",318,438,NA,120,1,0
"22-4","B",2022-08-10,2,"P",329,449,NA,120,1,0
"22-5","A",2022-07-18,1,"P",344,424,NA,80,1,0
"22-5","A",2022-08-05,7,"P",323,443,NA,120,1,0
"22-5","A",2022-06-30,0,"N",289,409,NA,120,0,0
"22-5","A",2022-07-26,31,"6A",302,432,NA,130,1,1
"22-5","B",2022-07-21,64,"5A",306,517,NA,211,1,1
"22-5","B",2022-08-09,12,"5A",327,447,NA,120,1,1
"22-5","B",2022-07-05,0,"N",293,413,NA,120,0,0
"22-5","B",2022-07-28,18,"P",309,434,NA,125,1,0
"22-5","C",2022-07-25,8,"P",305,433,NA,128,1,0
"22-5","C",2022-08-01,29,"P",317,468,NA,151,1,0
"22-5","C",2022-08-11,14,"N",324,452,NA,128,0,0
"22-5","C",2022-07-12,1,"P",298,418,NA,120,1,0
"22-7","C",2022-08-02,2,"P",320,470,NA,150,1,0
"22-7","C",2022-08-12,1,"P",331,451,NA,120,1,0
"19-3","C",2019-08-07,0,"N",322,446,NA,124,0,0
"19-5","A",2019-06-22,0,"N",283,407,NA,124,0,0
"19-5","A",2019-07-04,0,"N",290,410,NA,120,0,0
"19-5","A",2019-07-19,0,"N",302,422,NA,120,0,0
"19-5","B",2019-06-29,0,"N",286,411,NA,125,0,0
"19-5","C",2019-07-16,0,"N",299,419,NA,120,0,0
"22-13","C",2022-07-27,15,"P",313,433,NA,120,1,0
"22-6","A",2022-07-15,2,"P",301,421,NA,120,1,0
"22-7","A",2022-07-26,0,"N",312,432,NA,120,0,0
